2026-06-18 21:23:49,708 | INFO    | __main__ | Comandos: !barril, !cura, !drop, !formiga, !voa
2026-06-18 21:23:49,709 | INFO    | __main__ | Presentes executaveis: gamepad, gg, ice cream cone, pop, rose, tiktok
2026-06-18 21:23:49,709 | INFO    | __main__ | Acao de meta de likes: configurada (Python)
2026-06-18 21:23:49,709 | INFO    | __main__ | Acao de seguir: configurada (Python)
2026-06-18 21:23:49,709 | INFO    | __main__ | Acao de entrar na live: desligada (JOIN_ENABLED)
2026-06-18 21:23:49,709 | INFO    | __main__ | Meta NUCLEAR: 1000 likes
2026-06-18 21:23:49,709 | INFO    | __main__ | Ranking ATIVO (banco: live_caos.db)
2026-06-18 21:23:49,733 | INFO    | src.key_executor | Backend de teclado: pydirectinput
2026-06-18 21:23:49,734 | INFO    | src.file_bridge | Ponte por arquivo: C:\Program Files (x86)\Steam\steamapps\common\GarrysMod\garrysmod\data\live_caos\fila.txt
2026-06-18 21:23:49,994 | INFO    | websockets.server | server listening on [::1]:8765
2026-06-18 21:23:49,994 | INFO    | websockets.server | server listening on 127.0.0.1:8765
2026-06-18 21:23:49,995 | INFO    | src.panel_server | Painel WebSocket ouvindo em ws://localhost:8765
2026-06-18 21:23:49,995 | INFO    | src.command_queue | Worker da fila iniciado
2026-06-18 21:23:51,687 | INFO    | src.tiktok_listener | Chave da API EulerStream configurada.
2026-06-18 21:23:52,746 | INFO    | src.tiktok_listener | Conectando a @davillops...
2026-06-18 21:23:52,771 | INFO    | websockets.server | connection open
2026-06-18 21:23:52,772 | INFO    | src.panel_server | Overlay conectado (1 ativos)
2026-06-18 21:23:52,772 | INFO    | websockets.server | connection open
2026-06-18 21:23:52,772 | INFO    | src.panel_server | Overlay conectado (2 ativos)
2026-06-18 21:23:53,319 | INFO    | websockets.server | connection open
2026-06-18 21:23:53,319 | INFO    | src.panel_server | Overlay conectado (3 ativos)
2026-06-18 21:23:53,519 | INFO    | httpx | HTTP Request: GET https://www.tiktok.com/@davillops/live? "HTTP/1.1 200 OK"
2026-06-18 21:23:54,061 | INFO    | httpx | HTTP Request: GET https://webcast.tiktok.com/webcast/room/check_alive/?aid=1988&app_language=en&app_name=tiktok_web&browser_language=en-GB&browser_name=Mozilla&browser_online=true&browser_platform=Win32&browser_version=5.0%20%28Windows%20NT%2010.0%3B%20Win64%3B%20x64%29%20AppleWebKit%2F537.36%20%28KHTML%2C%20like%20Gecko%29%20Chrome%2F129.0.0.0%20Safari%2F537.36&cookie_enabled=true&device_platform=web_pc&focus_state=true&from_page=&history_len=13&is_fullscreen=false&is_page_visible=true&screen_height=2880&screen_width=5120&tz_name=Europe/London&channel=tiktok_web&data_collection_enabled=true&os=windows&priority_region=GB&region=GB&user_is_login=false&webcast_language=en&msToken=&referer=https://www.tiktok.com/@davillops/live&root_referer=https://www.tiktok.com/@davillops/live&device_id=46678231088974816076&room_id=7652893101535726344&room_ids=7652893101535726344 "HTTP/1.1 200 OK"
2026-06-18 21:23:54,978 | INFO    | websockets.server | connection open
2026-06-18 21:23:54,978 | INFO    | src.panel_server | Overlay conectado (4 ativos)
2026-06-18 21:23:56,439 | INFO    | httpx | HTTP Request: GET https://tiktok.eulerstream.com/webcast/fetch/?client=ttlive-python&room_id=7652893101535726344&user_agent=Mozilla%2F5.0+%28Windows+NT+10.0%3B+Win64%3B+x64%29+AppleWebKit%2F537.36+%28KHTML%2C+like+Gecko%29+Chrome%2F129.0.0.0+Safari%2F537.36&platform=web&client_enter=true "HTTP/1.1 200 OK"
2026-06-18 21:23:57,027 | INFO    | src.tiktok_listener | Conectado a live de @davillops
2026-06-18 21:24:08,671 | INFO    | src.tiktok_listener | Meta de likes batida por Dada -> zumbi
2026-06-18 21:24:08,671 | INFO    | src.command_queue | Enfileirado: __likes__ por Dada (fila=1)
